driverId,number,code,forename,surname,nationality
1,44,HAM,Lewis,Hamilton,British
4,14,ALO,Fernando,Alonso,Spanish
8,7,RAI,Kimi,Räikkönen,Finnish
9,88,KUB,Robert,Kubica,Polish
20,5,VET,Sebastian,Vettel,German
154,8,GRO,Romain,Grosjean,French
842,10,GAS,Pierre,Gasly,French
807,27,HUL,Nico,Hülkenberg,German
815,11,PER,Sergio,Pérez,Mexican
817,3,RIC,Daniel,Ricciardo,Australian
822,77,BOT,Valtteri,Bottas,Finnish
825,20,MAG,Kevin,Magnussen,Danish
826,26,KVY,Daniil,Kvyat,Russian
828,9,ERI,Marcus,Ericsson,Swedish
830,33,VER,Max,Verstappen,Dutch
832,55,SAI,Carlos,Sainz,Spanish
838,2,VAN,Stoffel,Vandoorne,Belgian
839,31,OCO,Esteban,Ocon,French
840,18,STR,Lance,Stroll,Canadian
841,99,GIO,Antonio,Giovinazzi,Italian
843,28,HAR,Brendon,Hartley,New Zealander
844,16,LEC,Charles,Leclerc,Monegasque
845,35,SIR,Sergey,Sirotkin,Russian
846,4,NOR,Lando,Norris,British
847,63,RUS,George,Russell,British
848,23,ALB,Alexander,Albon,Thai
849,6,LAT,Nicholas,Latifi,Canadian
850,51,FIT,Pietro,Fittipaldi,Brazilian
851,89,AIT,Jack,Aitken,British
852,22,TSU,Yuki,Tsunoda,Japanese
853,9,MAZ,Nikita,Mazepin,Russian
854,47,MSC,Mick,Schumacher,German
855,24,ZHO,Guanyu,Zhou,Chinese
856,21,DEV,Nyck,de Vries,Dutch
857,81,PIA,Oscar,Piastri,Australian
858,2,SAR,Logan,Sargeant,American
859,30,LAW,Liam,Lawson,New Zealander
860,38,BEA,Oliver,Bearman,British
861,43,COL,Franco,Colapinto,Argentinian 
862,61,DOO,Jack,Doohan,Australian
